Dish_Name,Meal_Type,Main_Ingredient,Cook_Time,Ingredients,Steps,Nutrition,Healthy_Tips,Image
Dal Rice,Lunch,Dal,30,"Dal, Rice, Salt, Turmeric, Water","Wash dal and rice. Cook dal in cooker with water, salt, and turmeric for 2-3 whistles. Cook rice separately with water. Serve hot.","🔥Rich in protein, carbs, and easy to digest",Use less ghee and add vegetables for extra fiber,images/dal_chawal.png
Dal Chapati,Dinner,Dal,35,"Dal, Wheat Flour, Salt, Turmeric, Water","Wash dal and cook in cooker with water, salt, and turmeric. Knead wheat flour with water into soft dough. Roll chapatis and cook on tawa. Serve with dal.",Balanced carbs and protein meal,Use multigrain flour and less oil,images/dal_chapati.png
Egg Curry Rice,Dinner,Egg,40,"Boiled Eggs, Curry Base, Rice, Salt, Water",Prepare coconut-peanut curry base. Add boiled eggs after curry boils. Cook rice separately. Serve hot.,🔥High protein meal,Use less oil and boiled eggs instead of fried,images/egg_curry_rice.png
Brinjal Bhaji Chapati,Lunch,Brinjal,30,"Brinjal, Onion, Tomato, Green Chilli, Rai, Salt, Wheat Flour",Cook brinjal using default bhaji method. Prepare chapati dough using wheat flour and water. Roll and cook chapatis on tawa. Serve hot.,🔥Fiber-rich and light meal,Use minimal oil and fresh vegetables,images/brinjal_bhaji_chapati.png
Paneer Bhaji,Dinner,Paneer,35,"Paneer, Onion, Tomato, Green Chilli, Rai, Salt","Cook paneer using bhaji base method with onion, tomato, and spices. Sauté well and serve hot.",🔥Rich in protein and calcium,Use homemade paneer and less cream/oil,images/paneer_bhaji.png
Chicken Curry Rice,Dinner,Chicken,50,"Chicken, Curry Base, Rice, Salt, Water",Prepare coconut-peanut curry base. Add chicken and cook well until tender. Cook rice separately. Serve hot.,🔥High protein and iron-rich meal,Use less oil and lean chicken cuts,images/chicken_curry_rice.png
Veg Khichdi,Lunch,Dal/Rice,30,"Rice, Moong Dal, Mixed Vegetables, Salt, Turmeric, Water","Wash rice and dal. Add vegetables, salt, turmeric, and water. Cook together in cooker for 3 whistles. Serve hot.","Light, healthy, protein-rich meal",Add more vegetables and reduce ghee,images/veg_khichdi.png
Bhindi Bhaji,Lunch,Bhindi,25,"Bhindi, Onion, Tomato, Green Chilli, Rai, Salt",Cook bhindi using default bhaji method. Sauté till soft and cooked properly. Serve hot.,Fiber-rich and low calorie,Avoid excess oil to keep it light,images/bhindi_bhaji_chapati.png
Cabbage Bhaji,Dinner,Cabbage,20,"Cabbage, Onion, Tomato, Green Chilli, Rai, Salt",Cook cabbage using default bhaji method. Cover and cook on low flame for 5-10 minutes. Serve hot.,Low calorie and fiber-rich,Use less oil and avoid overcooking,images/cabbage_bhaji_chapati.png
Fish Curry Rice,Lunch,Fish,45,"Fish, Curry Base, Rice, Salt, Water",Prepare coconut-peanut curry base. Add fish at the end and cook gently. Cook rice separately. Serve hot.,🔥Rich in omega-3 and protein,Use less coconut oil and fresh fish,images/fish_curry_rice.png
Chole Rice,Dinner,Chickpeas,45,"Chickpeas, Onion, Tomato, Ginger, Garlic, Salt, Rice","Soak chickpeas overnight and pressure cook. Prepare masala with onion, tomato, ginger, and garlic. Add chickpeas and cook well. Serve with rice.",🔥High protein and fiber,Use less oil and more tomatoes for lighter gravy,images/chole_rice.png
Rajma Rice,Lunch,Kidney Beans,45,"Rajma, Onion, Tomato, Ginger, Garlic, Salt, Rice","Soak rajma overnight and pressure cook. Prepare masala with onion, tomato, ginger, and garlic. Add rajma and simmer well. Serve with rice.","🔥Rich in protein, iron, and fiber",Use less oil and fresh homemade masala,images/rajma_rice.png
